START_DATE,END_DATE,Start_Date,Start_Hour,Start_Minute,End_Date,End_Hour,End_Minute,Month_Name,Year,Weekday,Day_Time,CATEGORY,START,STOP,MILES,Duration_MIN,PURPOSE,IS_WEEKEND
2016-01-01 21:11:00,2016-01-01 21:17:00,2016-01-01,21,11,2016-01-01,21,17,January,2016,Friday,Night,Business,Fort Pierce,Fort Pierce,5.1,6.0,Meal/Entertain,False
2016-01-02 01:25:00,2016-01-02 01:37:00,2016-01-02,1,25,2016-01-02,1,37,January,2016,Saturday,Night,Business,Fort Pierce,Fort Pierce,5.0,12.0,Unknown,True
2016-01-02 20:25:00,2016-01-02 20:38:00,2016-01-02,20,25,2016-01-02,20,38,January,2016,Saturday,Evening,Business,Fort Pierce,Fort Pierce,4.8,13.0,Errand/Supplies,True
2016-01-05 17:31:00,2016-01-05 17:45:00,2016-01-05,17,31,2016-01-05,17,45,January,2016,Tuesday,Evening,Business,Fort Pierce,Fort Pierce,4.7,14.0,Meeting,False
2016-01-06 14:42:00,2016-01-06 15:49:00,2016-01-06,14,42,2016-01-06,15,49,January,2016,Wednesday,Afternoon,Business,Fort Pierce,West Palm Beach,63.7,67.0,Customer Visit,False
2016-01-06 17:15:00,2016-01-06 17:19:00,2016-01-06,17,15,2016-01-06,17,19,January,2016,Wednesday,Evening,Business,West Palm Beach,West Palm Beach,4.3,4.0,Meal/Entertain,False
2016-01-06 17:30:00,2016-01-06 17:35:00,2016-01-06,17,30,2016-01-06,17,35,January,2016,Wednesday,Evening,Business,West Palm Beach,Palm Beach,7.1,5.0,Meeting,False
2016-01-07 13:27:00,2016-01-07 13:33:00,2016-01-07,13,27,2016-01-07,13,33,January,2016,Thursday,Afternoon,Business,Cary,Cary,0.8,6.0,Meeting,False
2016-01-10 08:05:00,2016-01-10 08:25:00,2016-01-10,8,5,2016-01-10,8,25,January,2016,Sunday,Morning,Business,Cary,Morrisville,8.3,20.0,Meeting,True
2016-01-10 12:17:00,2016-01-10 12:44:00,2016-01-10,12,17,2016-01-10,12,44,January,2016,Sunday,Afternoon,Business,Jamaica,New York,16.5,27.0,Customer Visit,True
2016-01-10 15:08:00,2016-01-10 15:51:00,2016-01-10,15,8,2016-01-10,15,51,January,2016,Sunday,Afternoon,Business,New York,Queens,10.8,43.0,Meeting,True
2016-01-10 18:18:00,2016-01-10 18:53:00,2016-01-10,18,18,2016-01-10,18,53,January,2016,Sunday,Evening,Business,Elmhurst,New York,7.5,35.0,Meeting,True
2016-01-10 19:12:00,2016-01-10 19:32:00,2016-01-10,19,12,2016-01-10,19,32,January,2016,Sunday,Evening,Business,Midtown,East Harlem,6.2,20.0,Meeting,True
2016-01-11 08:55:00,2016-01-11 09:21:00,2016-01-11,8,55,2016-01-11,9,21,January,2016,Monday,Morning,Business,East Harlem,NoMad,6.4,26.0,Temporary Site,False
2016-01-11 11:56:00,2016-01-11 12:03:00,2016-01-11,11,56,2016-01-11,12,3,January,2016,Monday,Morning,Business,Flatiron District,Midtown,1.6,7.0,Errand/Supplies,False
2016-01-11 13:32:00,2016-01-11 13:46:00,2016-01-11,13,32,2016-01-11,13,46,January,2016,Monday,Afternoon,Business,Midtown,Midtown East,1.7,14.0,Meal/Entertain,False
2016-01-11 14:30:00,2016-01-11 14:43:00,2016-01-11,14,30,2016-01-11,14,43,January,2016,Monday,Afternoon,Business,Midtown East,Midtown,1.9,13.0,Meal/Entertain,False
2016-01-12 12:33:00,2016-01-12 12:49:00,2016-01-12,12,33,2016-01-12,12,49,January,2016,Tuesday,Afternoon,Business,Midtown,Hudson Square,1.9,16.0,Meal/Entertain,False
2016-01-12 12:53:00,2016-01-12 13:09:00,2016-01-12,12,53,2016-01-12,13,9,January,2016,Tuesday,Afternoon,Business,Hudson Square,Lower Manhattan,4.0,16.0,Meal/Entertain,False
2016-01-12 14:42:00,2016-01-12 14:56:00,2016-01-12,14,42,2016-01-12,14,56,January,2016,Tuesday,Afternoon,Business,Lower Manhattan,Hudson Square,1.8,14.0,Errand/Supplies,False
2016-01-12 15:13:00,2016-01-12 15:28:00,2016-01-12,15,13,2016-01-12,15,28,January,2016,Tuesday,Afternoon,Business,Hudson Square,Hell's Kitchen,2.4,15.0,Customer Visit,False
2016-01-12 15:42:00,2016-01-12 15:54:00,2016-01-12,15,42,2016-01-12,15,54,January,2016,Tuesday,Afternoon,Business,Hell's Kitchen,Midtown,2.0,12.0,Errand/Supplies,False
2016-01-12 16:02:00,2016-01-12 17:00:00,2016-01-12,16,2,2016-01-12,17,0,January,2016,Tuesday,Afternoon,Business,New York,Queens County,15.1,58.0,Meeting,False
2016-01-13 13:54:00,2016-01-13 14:07:00,2016-01-13,13,54,2016-01-13,14,7,January,2016,Wednesday,Afternoon,Business,Downtown,Gulfton,11.2,13.0,Meeting,False
2016-01-13 15:00:00,2016-01-13 15:28:00,2016-01-13,15,0,2016-01-13,15,28,January,2016,Wednesday,Afternoon,Business,Gulfton,Downtown,11.8,28.0,Meeting,False
2016-01-14 16:29:00,2016-01-14 17:05:00,2016-01-14,16,29,2016-01-14,17,5,January,2016,Thursday,Afternoon,Business,Houston,Houston,21.9,36.0,Customer Visit,False
2016-01-14 21:39:00,2016-01-14 21:45:00,2016-01-14,21,39,2016-01-14,21,45,January,2016,Thursday,Night,Business,Eagan Park,Jamestown Court,3.9,6.0,Errand/Supplies,False
2016-01-15 00:41:00,2016-01-15 01:01:00,2016-01-15,0,41,2016-01-15,1,1,January,2016,Friday,Night,Business,Morrisville,Cary,8.0,20.0,Errand/Supplies,False
2016-01-15 11:43:00,2016-01-15 12:03:00,2016-01-15,11,43,2016-01-15,12,3,January,2016,Friday,Morning,Business,Cary,Durham,10.4,20.0,Meal/Entertain,False
2016-01-15 13:26:00,2016-01-15 13:44:00,2016-01-15,13,26,2016-01-15,13,44,January,2016,Friday,Afternoon,Business,Durham,Cary,10.4,18.0,Meal/Entertain,False
2016-01-18 14:55:00,2016-01-18 15:06:00,2016-01-18,14,55,2016-01-18,15,6,January,2016,Monday,Afternoon,Business,Cary,Cary,4.8,11.0,Meal/Entertain,False
2016-01-18 16:13:00,2016-01-18 16:24:00,2016-01-18,16,13,2016-01-18,16,24,January,2016,Monday,Afternoon,Business,Farmington Woods,Whitebridge,4.7,11.0,Meal/Entertain,False
2016-01-19 09:09:00,2016-01-19 09:23:00,2016-01-19,9,9,2016-01-19,9,23,January,2016,Tuesday,Morning,Business,Whitebridge,Lake Wellingborough,7.2,14.0,Unknown,False
2016-01-19 10:55:00,2016-01-19 11:09:00,2016-01-19,10,55,2016-01-19,11,9,January,2016,Tuesday,Morning,Business,Lake Wellingborough,Whitebridge,7.6,14.0,Temporary Site,False
2016-01-20 10:36:00,2016-01-20 11:11:00,2016-01-20,10,36,2016-01-20,11,11,January,2016,Wednesday,Morning,Business,Cary,Raleigh,17.1,35.0,Meeting,False
2016-01-20 11:48:00,2016-01-20 12:19:00,2016-01-20,11,48,2016-01-20,12,19,January,2016,Wednesday,Morning,Business,Fayetteville Street,Umstead,15.1,31.0,Meeting,False
2016-01-20 13:25:00,2016-01-20 14:19:00,2016-01-20,13,25,2016-01-20,14,19,January,2016,Wednesday,Afternoon,Business,Raleigh,Cary,40.2,54.0,Customer Visit,False
2016-01-21 14:25:00,2016-01-21 14:29:00,2016-01-21,14,25,2016-01-21,14,29,January,2016,Thursday,Afternoon,Business,Cary,Cary,1.6,4.0,Errand/Supplies,False
2016-01-21 14:43:00,2016-01-21 14:51:00,2016-01-21,14,43,2016-01-21,14,51,January,2016,Thursday,Afternoon,Business,Cary,Cary,2.4,8.0,Meal/Entertain,False
2016-01-21 16:01:00,2016-01-21 16:06:00,2016-01-21,16,1,2016-01-21,16,6,January,2016,Thursday,Afternoon,Business,Cary,Cary,1.0,5.0,Meal/Entertain,False
2016-01-26 10:41:00,2016-01-26 10:50:00,2016-01-26,10,41,2016-01-26,10,50,January,2016,Tuesday,Morning,Business,Whitebridge,Hazelwood,2.0,9.0,Meal/Entertain,False
2016-01-26 12:33:00,2016-01-26 12:41:00,2016-01-26,12,33,2016-01-26,12,41,January,2016,Tuesday,Afternoon,Business,Hazelwood,Whitebridge,2.3,8.0,Errand/Supplies,False
2016-01-26 16:24:00,2016-01-26 16:32:00,2016-01-26,16,24,2016-01-26,16,32,January,2016,Tuesday,Afternoon,Business,Whitebridge,Westpark Place,1.9,8.0,Errand/Supplies,False
2016-01-26 17:17:00,2016-01-26 17:22:00,2016-01-26,17,17,2016-01-26,17,22,January,2016,Tuesday,Evening,Business,Cary,Cary,1.4,5.0,Errand/Supplies,False
2016-01-26 17:27:00,2016-01-26 17:29:00,2016-01-26,17,27,2016-01-26,17,29,January,2016,Tuesday,Evening,Business,Cary,Cary,0.5,2.0,Errand/Supplies,False
2016-01-27 09:24:00,2016-01-27 09:31:00,2016-01-27,9,24,2016-01-27,9,31,January,2016,Wednesday,Morning,Business,Cary,Cary,1.8,7.0,Meeting,False
2016-01-27 10:19:00,2016-01-27 10:48:00,2016-01-27,10,19,2016-01-27,10,48,January,2016,Wednesday,Morning,Business,Cary,Raleigh,18.7,29.0,Customer Visit,False
2016-01-27 12:34:00,2016-01-27 12:44:00,2016-01-27,12,34,2016-01-27,12,44,January,2016,Wednesday,Afternoon,Business,Fairmont,Meredith Townes,3.4,10.0,Customer Visit,False
2016-01-27 14:05:00,2016-01-27 14:13:00,2016-01-27,14,5,2016-01-27,14,13,January,2016,Wednesday,Afternoon,Business,Raleigh,Raleigh,2.7,8.0,Customer Visit,False
2016-01-27 14:46:00,2016-01-27 15:08:00,2016-01-27,14,46,2016-01-27,15,8,January,2016,Wednesday,Afternoon,Business,Raleigh,Cary,12.9,22.0,Customer Visit,False
2016-01-28 12:28:00,2016-01-28 13:00:00,2016-01-28,12,28,2016-01-28,13,0,January,2016,Thursday,Afternoon,Business,Cary,Raleigh,19.0,32.0,Temporary Site,False
2016-01-28 15:11:00,2016-01-28 15:31:00,2016-01-28,15,11,2016-01-28,15,31,January,2016,Thursday,Afternoon,Business,Meredith Townes,Leesville Hollow,14.7,20.0,Meeting,False
2016-01-28 16:21:00,2016-01-28 16:51:00,2016-01-28,16,21,2016-01-28,16,51,January,2016,Thursday,Afternoon,Business,Raleigh,Cary,15.7,30.0,Meeting,False
2016-01-29 09:31:00,2016-01-29 09:45:00,2016-01-29,9,31,2016-01-29,9,45,January,2016,Friday,Morning,Business,Cary,Cary,4.6,14.0,Customer Visit,False
2016-01-29 10:56:00,2016-01-29 11:07:00,2016-01-29,10,56,2016-01-29,11,7,January,2016,Friday,Morning,Business,Cary,Cary,5.2,11.0,Meeting,False
2016-01-29 11:43:00,2016-01-29 12:03:00,2016-01-29,11,43,2016-01-29,12,3,January,2016,Friday,Morning,Business,Cary,Durham,10.4,20.0,Meeting,False
2016-01-29 13:24:00,2016-01-29 13:47:00,2016-01-29,13,24,2016-01-29,13,47,January,2016,Friday,Afternoon,Business,Durham,Cary,10.1,23.0,Meeting,False
2016-01-29 18:31:00,2016-01-29 18:52:00,2016-01-29,18,31,2016-01-29,18,52,January,2016,Friday,Evening,Business,Cary,Apex,5.8,21.0,Errand/Supplies,False
2016-01-29 21:21:00,2016-01-29 21:40:00,2016-01-29,21,21,2016-01-29,21,40,January,2016,Friday,Night,Business,Apex,Cary,5.5,19.0,Meal/Entertain,False
2016-01-30 16:21:00,2016-01-30 16:33:00,2016-01-30,16,21,2016-01-30,16,33,January,2016,Saturday,Afternoon,Business,Cary,Apex,5.7,12.0,Errand/Supplies,True
2016-01-30 18:09:00,2016-01-30 18:24:00,2016-01-30,18,9,2016-01-30,18,24,January,2016,Saturday,Evening,Business,Apex,Cary,5.7,15.0,Customer Visit,True
2016-02-01 10:35:00,2016-02-01 11:15:00,2016-02-01,10,35,2016-02-01,11,15,February,2016,Monday,Morning,Business,Cary,Chapel Hill,19.4,40.0,Customer Visit,False
2016-02-01 12:10:00,2016-02-01 12:43:00,2016-02-01,12,10,2016-02-01,12,43,February,2016,Monday,Afternoon,Business,Chapel Hill,Cary,23.3,33.0,Customer Visit,False
2016-02-01 12:56:00,2016-02-01 13:07:00,2016-02-01,12,56,2016-02-01,13,7,February,2016,Monday,Afternoon,Business,Northwoods,Whitebridge,3.9,11.0,Meal/Entertain,False
2016-02-02 13:04:00,2016-02-02 13:23:00,2016-02-02,13,4,2016-02-02,13,23,February,2016,Tuesday,Afternoon,Business,Whitebridge,Williamsburg Manor,8.3,19.0,Meeting,False
2016-02-02 13:51:00,2016-02-02 14:06:00,2016-02-02,13,51,2016-02-02,14,6,February,2016,Tuesday,Afternoon,Business,Cary,Cary,6.0,15.0,Errand/Supplies,False
2016-02-02 14:38:00,2016-02-02 14:42:00,2016-02-02,14,38,2016-02-02,14,42,February,2016,Tuesday,Afternoon,Business,Cary,Cary,1.6,4.0,Errand/Supplies,False
2016-02-04 08:40:00,2016-02-04 09:01:00,2016-02-04,8,40,2016-02-04,9,1,February,2016,Thursday,Morning,Business,Cary,Morrisville,5.2,21.0,Errand/Supplies,False
2016-02-04 09:37:00,2016-02-04 10:09:00,2016-02-04,9,37,2016-02-04,10,9,February,2016,Thursday,Morning,Business,Morrisville,Cary,9.7,32.0,Meal/Entertain,False
2016-02-04 10:26:00,2016-02-04 10:32:00,2016-02-04,10,26,2016-02-04,10,32,February,2016,Thursday,Morning,Business,Cary,Cary,1.6,6.0,Meal/Entertain,False
2016-02-04 15:59:00,2016-02-04 16:03:00,2016-02-04,15,59,2016-02-04,16,3,February,2016,Thursday,Afternoon,Business,Cary,Cary,1.1,4.0,Meal/Entertain,False
2016-02-04 16:35:00,2016-02-04 16:39:00,2016-02-04,16,35,2016-02-04,16,39,February,2016,Thursday,Afternoon,Business,Cary,Cary,1.6,4.0,Meal/Entertain,False
2016-02-04 18:04:00,2016-02-04 18:31:00,2016-02-04,18,4,2016-02-04,18,31,February,2016,Thursday,Evening,Business,Whitebridge,Macgregor Downs,9.0,27.0,Meeting,False
2016-02-04 20:36:00,2016-02-04 20:55:00,2016-02-04,20,36,2016-02-04,20,55,February,2016,Thursday,Evening,Business,Cary,Cary,7.7,19.0,Meeting,False
2016-02-05 11:47:00,2016-02-05 12:07:00,2016-02-05,11,47,2016-02-05,12,7,February,2016,Friday,Morning,Business,Cary,Durham,10.4,20.0,Meeting,False
2016-02-05 13:22:00,2016-02-05 13:41:00,2016-02-05,13,22,2016-02-05,13,41,February,2016,Friday,Afternoon,Business,Durham,Cary,10.4,19.0,Meeting,False
2016-02-06 16:20:00,2016-02-06 16:53:00,2016-02-06,16,20,2016-02-06,16,53,February,2016,Saturday,Afternoon,Business,Cary,Raleigh,11.4,33.0,Between Offices,True
2016-02-06 18:57:00,2016-02-06 19:21:00,2016-02-06,18,57,2016-02-06,19,21,February,2016,Saturday,Evening,Business,Raleigh,Cary,9.0,24.0,Errand/Supplies,True
2016-02-06 19:28:00,2016-02-06 19:37:00,2016-02-06,19,28,2016-02-06,19,37,February,2016,Saturday,Evening,Business,Edgehill Farms,Whitebridge,3.2,9.0,Meal/Entertain,True
2016-02-07 16:49:00,2016-02-07 17:01:00,2016-02-07,16,49,2016-02-07,17,1,February,2016,Sunday,Afternoon,Business,Cary,Apex,5.6,12.0,Errand/Supplies,True
2016-02-07 18:03:00,2016-02-07 18:17:00,2016-02-07,18,3,2016-02-07,18,17,February,2016,Sunday,Evening,Business,Apex,Cary,5.7,14.0,Customer Visit,True
2016-02-07 18:39:00,2016-02-07 18:53:00,2016-02-07,18,39,2016-02-07,18,53,February,2016,Sunday,Evening,Business,Cary,Morrisville,6.1,14.0,Temporary Site,True
2016-02-07 20:22:00,2016-02-07 20:40:00,2016-02-07,20,22,2016-02-07,20,40,February,2016,Sunday,Evening,Business,Morrisville,Cary,6.1,18.0,Meeting,True
2016-02-08 12:57:00,2016-02-08 13:08:00,2016-02-08,12,57,2016-02-08,13,8,February,2016,Monday,Afternoon,Business,Whitebridge,Edgehill Farms,4.3,11.0,Meal/Entertain,False
2016-02-08 14:00:00,2016-02-08 14:10:00,2016-02-08,14,0,2016-02-08,14,10,February,2016,Monday,Afternoon,Business,Edgehill Farms,Whitebridge,2.7,10.0,Meal/Entertain,False
2016-02-09 10:54:00,2016-02-09 11:07:00,2016-02-09,10,54,2016-02-09,11,7,February,2016,Tuesday,Morning,Personal,Whitebridge,Northwoods,5.3,13.0,Unknown,False
2016-02-09 11:43:00,2016-02-09 11:50:00,2016-02-09,11,43,2016-02-09,11,50,February,2016,Tuesday,Morning,Personal,Northwoods,Tanglewood,3.0,7.0,Unknown,False
2016-02-09 13:36:00,2016-02-09 13:52:00,2016-02-09,13,36,2016-02-09,13,52,February,2016,Tuesday,Afternoon,Personal,Tanglewood,Preston,5.1,16.0,Unknown,False
2016-02-09 13:58:00,2016-02-09 14:02:00,2016-02-09,13,58,2016-02-09,14,2,February,2016,Tuesday,Afternoon,Personal,Preston,Whitebridge,1.5,4.0,Unknown,False
2016-02-09 18:55:00,2016-02-09 19:11:00,2016-02-09,18,55,2016-02-09,19,11,February,2016,Tuesday,Evening,Business,Cary,Morrisville,6.1,16.0,Unknown,False
2016-02-09 20:24:00,2016-02-09 20:40:00,2016-02-09,20,24,2016-02-09,20,40,February,2016,Tuesday,Evening,Business,Morrisville,Cary,6.1,16.0,Meal/Entertain,False
